filename,year,month,ocr,volume,issue
1915_January.txt,1915,January,TRUE,12,1
1915_February.txt,1915,February,TRUE,12,2
1915_March.txt,1915,March,TRUE,12,3
1915_April.txt,1915,April,TRUE,12,4
1915_May.txt,1915,May ,TRUE,12,5
1915_June.txt,1915,June,TRUE,12,6
1915_July.txt,1915,July,TRUE,13,1
1915_August.txt,1915,August,TRUE,13,2
1915_September.txt,1915,September,TRUE,13,3
1915_October.txt,1915,October,TRUE,13,4
1915_November.txt,1915,November,TRUE,13,5
1915_December.txt,1915,December,TRUE,13,6
1916_January.txt,1916,January,TRUE,14,1
1916_February.txt,1916,February,TRUE,14,2
1916_March.txt,1916,March,TRUE,14,3
1916_April.txt,1916,April,TRUE,14,4
1916_May.txt,1916,May,TRUE,14,5
1916_June.txt,1916,June,TRUE,14,6
1916_July.txt,1916,July,TRUE,15,1
1916_August.txt,1916,August,TRUE,15,2
1916_September.txt,1916,September,TRUE,15,3
1916_October.txt,1916,October,TRUE,15,4
1916_November.txt,1916,November,TRUE,15,5
1916_Dec.txt,1916,December,TRUE,15,6
